phase_name,dt_s,t_cmd_nm,grade,p_aux_w,time_s,v_mps,v_kph,a_mps2,soc,motor_torque_actual_nm,motor_speed_rpm,battery_power_w,cumulative_energy_kwh,f_roll_n,f_aero_n,f_grade_n,f_drive_n,f_net_n
平路匀速,0.1,12.0,0.0,800.0,13.09999999999997,25.251970406381353,90.90709346297288,-0.05707769238735949,0.8467261188828664,12.0,7389.729904522369,10894.845614214873,0.196432867028005,194.23800000000003,249.29503114883417,0.0,349.35483870967744,-94.17819243915676
平路匀速,0.1,12.0,0.0,800.0,13.199999999999969,25.246269464986476,90.88657007395132,-0.057009413948776455,0.8467210760284811,12.0,7388.061582548612,10892.565472187818,0.19673543829112133,194.23800000000003,249.182371725145,0.0,349.35483870967744,-94.0655330154676
平路匀速,0.1,12.0,0.0,800.0,13.299999999999969,25.240575341727368,90.86607123021852,-0.05694123259107897,0.8467160342284545,12.0,7386.395255832291,10890.288057442809,0.19703794629271698,194.23800000000003,249.06987248496785,0.0,349.35483870967744,-93.95303377529044
平路匀速,0.1,12.0,0.0,800.0,13.399999999999968,25.234888026913072,90.84559689688706,-0.05687314814295519,0.8467109934815258,12.0,7384.730921537451,10888.013366102752,0.19734039110844206,194.23800000000003,248.95753314552772,0.0,349.35483870967744,-93.84069443585031
平路匀速,0.1,12.0,0.0,800.0,13.499999999999968,25.22920751086974,90.82514703913105,-0.05680516043334194,0.8467059537864359,12.0,7383.068576833136,10885.741394297407,0.1976427728138392,194.23800000000003,248.84535342466933,0.0,349.35483870967744,-93.72851471499192
平路匀速,0.1,12.0,0.0,800.0,13.599999999999968,25.223533783940574,90.80472162218607,-0.056737269291637915,0.8467009151419275,12.0,7381.408218893388,10883.472138163352,0.19794509148434375,194.23800000000003,248.73333304085574,0.0,349.35483870967744,-93.61649433117833
平路匀速,0.1,12.0,0.0,800.0,13.699999999999967,25.21786683648582,90.78432061134895,-0.05666947454756155,0.8466958775467451,12.0,7379.7498448972265,10881.205593843984,0.19824734719528386,194.23800000000003,248.62147171316667,0.0,349.35483870967744,-93.50463300348926
平路匀速,0.1,12.0,0.0,800.0,13.799999999999967,25.21220665888269,90.76394397197768,-0.05660177603129313,0.8466908409996352,12.0,7378.093452028645,10878.9417574895,0.1985495400218808,194.23800000000003,248.50976916129682,0.0,349.35483870967744,-93.3929304516194
平路匀速,0.1,12.0,0.0,800.0,13.899999999999967,25.206553241525363,90.74359166949131,-0.056534173573261626,0.8466858054993457,12.0,7376.439037476598,10876.680625256868,0.19885167003924906,194.23800000000003,248.3982251055543,0.0,349.35483870967744,-93.2813863958769
平路匀速,0.1,12.0,0.0,800.0,13.999999999999966,25.200906574824927,90.72326366936974,-0.05646666700435787,0.8466807710446266,12.0,7374.786598434987,10874.42219330984,0.19915373732239655,194.23800000000003,248.28683926685895,0.0,349.35483870967744,-93.17000055718154
平路匀速,0.1,12.0,0.0,800.0,14.099999999999966,25.195266649209348,90.70295993715365,-0.05639925615579244,0.8466757376342294,12.0,7373.136132102659,10872.166457818912,0.19945574194622487,194.23800000000003,248.17561136674078,0.0,349.35483870967744,-93.05877265706337
平路匀速,0.1,12.0,0.0,800.0,14.199999999999966,25.189633455123428,90.68268043844434,-0.056331940859202234,0.8466707052669077,12.0,7371.4876356833765,10869.913414961318,0.19975768398552934,194.23800000000003,248.06454112733843,0.0,349.35483870967744,-92.94770241766102
平路匀速,0.1,12.0,0.0,800.0,14.299999999999965,25.184006983028777,90.6624251389036,-0.05626472094650836,0.8466656739414166,12.0,7369.841106385834,10867.663060921022,0.20005956351499937,194.23800000000003,247.95362827139735,0.0,349.35483870967744,-92.83678956171994
